MMWR_YR,MMWR_WK,season_week,start_date,end_date,season,semester
2021,35,0,2021-08-29,2021-09-04,2021/22,Fall
2021,36,1,2021-09-05,2021-09-11,2021/22,Fall
2021,37,2,2021-09-12,2021-09-18,2021/22,Fall
2021,38,3,2021-09-19,2021-09-25,2021/22,Fall
2021,39,4,2021-09-26,2021-10-02,2021/22,Fall
2021,40,5,2021-10-03,2021-10-09,2021/22,Fall
2021,41,6,2021-10-10,2021-10-16,2021/22,Fall
2021,42,7,2021-10-17,2021-10-23,2021/22,Fall
2021,43,8,2021-10-24,2021-10-30,2021/22,Fall
2021,44,9,2021-10-31,2021-11-06,2021/22,Fall
2021,45,10,2021-11-07,2021-11-13,2021/22,Fall
2021,46,11,2021-11-14,2021-11-20,2021/22,Fall
2021,47,12,2021-11-21,2021-11-27,2021/22,Fall
2021,48,13,2021-11-28,2021-12-04,2021/22,Fall
2021,49,14,2021-12-05,2021-12-11,2021/22,Fall
2021,50,15,2021-12-12,2021-12-18,2021/22,Winter_break
2021,51,16,2021-12-19,2021-12-25,2021/22,Winter_break
2021,52,17,2021-12-26,2022-01-01,2021/22,Winter_break
2022,1,18,2022-01-02,2022-01-08,2021/22,Winter_break
2022,2,19,2022-01-09,2022-01-15,2021/22,Winter_break
2022,3,20,2022-01-16,2022-01-22,2021/22,Winter_break
2022,4,21,2022-01-23,2022-01-29,2021/22,Spring
2022,5,22,2022-01-30,2022-02-05,2021/22,Spring
2022,6,23,2022-02-06,2022-02-12,2021/22,Spring
2022,7,24,2022-02-13,2022-02-19,2021/22,Spring
2022,8,25,2022-02-20,2022-02-26,2021/22,Spring
2022,9,26,2022-02-27,2022-03-05,2021/22,Spring
2022,10,27,2022-03-06,2022-03-12,2021/22,Spring
2022,11,28,2022-03-13,2022-03-19,2021/22,Spring
2022,12,29,2022-03-20,2022-03-26,2021/22,Spring
2022,13,30,2022-03-27,2022-04-02,2021/22,Spring
2022,14,31,2022-04-03,2022-04-09,2021/22,Spring
2022,15,32,2022-04-10,2022-04-16,2021/22,Spring
