MMWR_YR,MMWR_WK,ILI,N,season_week,start_date,end_date,season,semester
2021,35,,,0,2021-08-29,2021-09-04,2021/22,Fall
2021,36,,,1,2021-09-05,2021-09-11,2021/22,Fall
2021,37,,,2,2021-09-12,2021-09-18,2021/22,Fall
2021,38,,,3,2021-09-19,2021-09-25,2021/22,Fall
2021,39,,,4,2021-09-26,2021-10-02,2021/22,Fall
2021,40,3.0,210.0,5,2021-10-03,2021-10-09,2021/22,Fall
2021,41,3.0,215.0,6,2021-10-10,2021-10-16,2021/22,Fall
2021,42,6.0,262.0,7,2021-10-17,2021-10-23,2021/22,Fall
2021,43,7.0,240.0,8,2021-10-24,2021-10-30,2021/22,Fall
2021,44,10.0,238.0,9,2021-10-31,2021-11-06,2021/22,Fall
2021,45,5.0,285.0,10,2021-11-07,2021-11-13,2021/22,Fall
2021,46,0.0,261.0,11,2021-11-14,2021-11-20,2021/22,Fall
2021,47,8.0,74.0,12,2021-11-21,2021-11-27,2021/22,Fall
2021,48,8.0,181.0,13,2021-11-28,2021-12-04,2021/22,Fall
2021,49,4.0,150.0,14,2021-12-05,2021-12-11,2021/22,Fall
2021,50,0.0,161.0,15,2021-12-12,2021-12-18,2021/22,Winter_break
2021,51,0.0,18.0,16,2021-12-19,2021-12-25,2021/22,Winter_break
2021,52,0.0,24.0,17,2021-12-26,2022-01-01,2021/22,Winter_break
2022,1,0.0,37.0,18,2022-01-02,2022-01-08,2021/22,Winter_break
2022,2,0.0,23.0,19,2022-01-09,2022-01-15,2021/22,Winter_break
2022,3,0.0,37.0,20,2022-01-16,2022-01-22,2021/22,Winter_break
2022,4,0.0,86.0,21,2022-01-23,2022-01-29,2021/22,Spring
2022,5,24.0,130.0,22,2022-01-30,2022-02-05,2021/22,Spring
2022,6,44.0,202.0,23,2022-02-06,2022-02-12,2021/22,Spring
2022,7,34.0,164.0,24,2022-02-13,2022-02-19,2021/22,Spring
2022,8,45.0,153.0,25,2022-02-20,2022-02-26,2021/22,Spring
2022,9,22.0,160.0,26,2022-02-27,2022-03-05,2021/22,Spring
