MMWR_YR,MMWR_WK,pos_cases,semester,end_date,start_date,season,season_week,MMWR_MN,N
2021,35,,Fall,2021-09-04,2021-08-29,2021/22,0.0,,
2021,36,1.0,Fall,2021-09-11,2021-09-05,2021/22,1.0,,
2021,37,,Fall,2021-09-18,2021-09-12,2021/22,2.0,,
2021,38,,Fall,2021-09-25,2021-09-19,2021/22,3.0,,
2021,39,,Fall,2021-10-02,2021-09-26,2021/22,4.0,,
2021,40,,Fall,2021-10-09,2021-10-03,2021/22,5.0,,210.0
2021,41,,Fall,2021-10-16,2021-10-10,2021/22,6.0,,215.0
2021,42,,Fall,2021-10-23,2021-10-17,2021/22,7.0,,262.0
2021,43,,Fall,2021-10-30,2021-10-24,2021/22,8.0,,240.0
2021,44,1.0,Fall,2021-11-06,2021-10-31,2021/22,9.0,,238.0
2021,45,1.0,Fall,2021-11-13,2021-11-07,2021/22,10.0,,285.0
2021,46,16.0,Fall,2021-11-20,2021-11-14,2021/22,11.0,,261.0
2021,47,17.0,Fall,2021-11-27,2021-11-21,2021/22,12.0,,74.0
2021,48,28.0,Fall,2021-12-04,2021-11-28,2021/22,13.0,,181.0
2021,49,25.0,,,,2021/22,14.0,,150.0
2021,50,1.0,Winter_break,2021-12-18,2021-12-12,2021/22,15.0,,161.0
2021,51,,Winter_break,2021-12-25,2021-12-19,2021/22,16.0,,18.0
2021,52,,Winter_break,2022-01-01,2021-12-26,2021/22,17.0,,24.0
2022,1,,Winter_break,2022-01-08,2022-01-02,2021/22,18.0,,37.0
2022,2,,Winter_break,2022-01-15,2022-01-09,2021/22,19.0,,23.0
2022,3,,,,,2021/22,20.0,,37.0
2022,4,1.0,Spring,2022-01-29,2022-01-23,2021/22,21.0,,86.0
2022,5,24.0,Spring,2022-02-05,2022-01-30,2021/22,22.0,,130.0
2022,6,41.0,Spring,2022-02-12,2022-02-06,2021/22,23.0,,202.0
2022,7,12.0,Spring,2022-02-19,2022-02-13,2021/22,24.0,,164.0
2022,8,21.0,Spring,2022-02-26,2022-02-20,2021/22,25.0,,153.0
2022,9,5.0,Spring,2022-03-05,2022-02-27,2021/22,26.0,,160.0
2022,10,3.0,Spring,2022-03-12,2022-03-06,2021/22,27.0,,163.0
2022,11,,Spring,2022-03-19,2022-03-13,2021/22,28.0,,20.0
2022,12,,Spring,2022-03-26,2022-03-20,2021/22,29.0,,182.0
2022,13,1.0,Spring,2022-04-02,2022-03-27,2021/22,30.0,,195.0
2022,14,,Spring,2022-04-09,2022-04-03,2021/22,31.0,,194.0
2022,15,,Spring,2022-04-16,2022-04-10,2021/22,32.0,,235.0
2022,16,1.0,Spring,2022-04-23,2022-04-17,2021/22,33.0,,332.0
2022,17,1.0,Spring,2022-04-30,2022-04-24,2021/22,34.0,,351.0
2022,18,,Spring,2022-05-07,2022-05-01,2021/22,35.0,,137.0
2022,19,1.0,,,,2021/22,36.0,,123.0
2022,20,,,,,2021/22,37.0,,56.0
2022,35,,Fall,2022-09-03,2022-08-28,2022/23,0.0,,256.0
2022,36,,Fall,2022-09-10,2022-09-04,2022/23,1.0,,204.0
2022,37,,Fall,2022-09-17,2022-09-11,2022/23,2.0,,224.0
2022,38,,Fall,2022-09-24,2022-09-18,2022/23,3.0,,252.0
2022,39,,Fall,2022-10-01,2022-09-25,2022/23,4.0,,241.0
2022,40,,Fall,2022-10-08,2022-10-02,2022/23,5.0,,222.0
2022,41,,Fall,2022-10-15,2022-10-09,2022/23,6.0,,202.0
2022,42,,Fall,2022-10-22,2022-10-16,2022/23,7.0,,261.0
2022,43,,Fall,2022-10-29,2022-10-23,2022/23,8.0,,252.0
2022,44,,Fall,2022-11-05,2022-10-30,2022/23,9.0,,238.0
2022,45,1.0,Fall,2022-11-12,2022-11-06,2022/23,10.0,,258.0
2022,46,1.0,Fall,2022-11-19,2022-11-13,2022/23,11.0,,269.0
2022,47,,Fall,2022-11-26,2022-11-20,2022/23,12.0,,89.0
2022,48,6.0,Fall,2022-12-03,2022-11-27,2022/23,13.0,,180.0
2022,49,18.0,,,,2022/23,14.0,,143.0
2022,50,2.0,Winter_break,2022-12-17,2022-12-11,2022/23,15.0,,51.0
