week,above_median
1,0.27666666666666667
2,0.31533333333333335
3,0.378
4,0.44066666666666665
5,0.5
6,0.5893333333333334
7,0.6573333333333333
8,0.7446666666666667
9,0.818
10,0.892
11,0.9293333333333333
12,0.9646666666666667
13,0.98
14,0.9893333333333333
15,0.994
16,0.9953333333333333
17,0.9966666666666667
18,0.998
19,0.996
20,0.9933333333333333
21,0.9886666666666667
22,0.9806666666666667
23,0.964
24,0.9526666666666667
25,0.9246666666666666
26,0.882
27,0.8306666666666667
28,0.7506666666666667
29,0.648
30,0.5393333333333333
31,0.42533333333333334
32,0.31066666666666665
33,0.25866666666666666
34,0.202
35,0.16333333333333333
36,0.12866666666666668
37,0.11266666666666666
