season,semester,MMWR_YR,MMWR_WK,percentile,percentile_value_cases,percentile_value_inc
2025/26,Fall,2025,35,0.01,0.0,0.00013845253590261564
2025/26,Fall,2025,35,0.025,0.0,0.00023332382988883185
2025/26,Fall,2025,35,0.05,0.0,0.00037801914731971925
2025/26,Fall,2025,35,0.1,0.0,0.0006041996879503132
2025/26,Fall,2025,35,0.15,0.0,0.0008129965717671439
2025/26,Fall,2025,35,0.2,0.0,0.000990269705653191
2025/26,Fall,2025,35,0.25,0.0,0.0011627460189629346
2025/26,Fall,2025,35,0.3,0.0,0.0013417381909675895
2025/26,Fall,2025,35,0.35,0.0,0.0015378378506284204
2025/26,Fall,2025,35,0.4,0.0,0.001721689570695162
2025/26,Fall,2025,35,0.45,0.0,0.001931951829465106
2025/26,Fall,2025,35,0.5,0.0,0.0021482009906321764
2025/26,Fall,2025,35,0.55,0.0,0.002361778728663922
2025/26,Fall,2025,35,0.6,1.0,0.0025948603637516495
2025/26,Fall,2025,35,0.65,1.0,0.002856180991511792
2025/26,Fall,2025,35,0.7,1.0,0.003165871230885386
2025/26,Fall,2025,35,0.75,1.0,0.0035078792134299874
2025/26,Fall,2025,35,0.8,1.0,0.003941626846790318
2025/26,Fall,2025,35,0.85,1.0,0.004453374352306127
2025/26,Fall,2025,35,0.9,2.0,0.005138640012592078
2025/26,Fall,2025,35,0.95,2.0,0.0062933972338214406
2025/26,Fall,2025,35,0.975,3.0,0.007487832894548773
2025/26,Fall,2025,35,0.99,4.0,0.00906305780634284
2025/26,Fall,2025,36,0.01,0.0,0.00033508740423712877
2025/26,Fall,2025,36,0.025,0.0,0.000524871307425201
2025/26,Fall,2025,36,0.05,0.0,0.0007427959935739636
2025/26,Fall,2025,36,0.1,0.0,0.0010209708590991795
2025/26,Fall,2025,36,0.15,0.0,0.0012482967576943338
2025/26,Fall,2025,36,0.2,0.0,0.0014710329473018647
2025/26,Fall,2025,36,0.25,0.0,0.0016647674783598632
2025/26,Fall,2025,36,0.3,0.0,0.0018711524200625716
2025/26,Fall,2025,36,0.35,0.0,0.0020643130526877937
2025/26,Fall,2025,36,0.4,0.0,0.0022761347703635693
2025/26,Fall,2025,36,0.45,0.0,0.0024676015018485487
2025/26,Fall,2025,36,0.5,0.0,0.002687745145522058
2025/26,Fall,2025,36,0.55,1.0,0.0029143199208192527
2025/26,Fall,2025,36,0.6,1.0,0.00314083038829267
2025/26,Fall,2025,36,0.65,1.0,0.003409924334846438
2025/26,Fall,2025,36,0.7,1.0,0.003678500559180975
2025/26,Fall,2025,36,0.75,1.0,0.003997858380898833
2025/26,Fall,2025,36,0.8,1.0,0.004375526309013367
2025/26,Fall,2025,36,0.85,2.0,0.004856586642563343
2025/26,Fall,2025,36,0.9,2.0,0.00550072817131877
2025/26,Fall,2025,36,0.95,3.0,0.006523271882906556
2025/26,Fall,2025,36,0.975,3.0,0.007586350850760933
2025/26,Fall,2025,36,0.99,4.0,0.009030987694859511
2025/26,Fall,2025,37,0.01,0.0,0.0006347551301587373
2025/26,Fall,2025,37,0.025,0.0,0.0008591760037234054
2025/26,Fall,2025,37,0.05,0.0,0.001106781465932727
2025/26,Fall,2025,37,0.1,0.0,0.0014415170066058637
2025/26,Fall,2025,37,0.15,0.0,0.0017027412832248954
2025/26,Fall,2025,37,0.2,0.0,0.001915802084840834
2025/26,Fall,2025,37,0.25,0.0,0.002136906608939171
2025/26,Fall,2025,37,0.3,0.0,0.002346701268106699
2025/26,Fall,2025,37,0.35,0.0,0.0025526141631416976
2025/26,Fall,2025,37,0.4,0.0,0.002746768482029438
2025/26,Fall,2025,37,0.45,1.0,0.0029545213212259116
2025/26,Fall,2025,37,0.5,1.0,0.0031607382697984576
2025/26,Fall,2025,37,0.55,1.0,0.0033813305082730947
2025/26,Fall,2025,37,0.6,1.0,0.003592465119436383
2025/26,Fall,2025,37,0.65,1.0,0.0038394467555917804
2025/26,Fall,2025,37,0.7,1.0,0.004102223040536045
2025/26,Fall,2025,37,0.75,2.0,0.00441949802916497
2025/26,Fall,2025,37,0.8,2.0,0.004765975940972567
2025/26,Fall,2025,37,0.85,2.0,0.005213585216552019
2025/26,Fall,2025,37,0.9,3.0,0.005831564823165536
2025/26,Fall,2025,37,0.95,3.0,0.006837567128241061
2025/26,Fall,2025,37,0.975,4.0,0.007729420100804417
2025/26,Fall,2025,37,0.99,5.0,0.008944952981546524
2025/26,Fall,2025,38,0.01,0.0,0.0008469099807552993
2025/26,Fall,2025,38,0.025,0.0,0.0011707444849889726
2025/26,Fall,2025,38,0.05,0.0,0.0014761051628738643
2025/26,Fall,2025,38,0.1,0.0,0.0018806196167133749
2025/26,Fall,2025,38,0.15,0.0,0.0021739931777119636
2025/26,Fall,2025,38,0.2,0.0,0.0024359360802918674
2025/26,Fall,2025,38,0.25,0.0,0.0026860611978918314
2025/26,Fall,2025,38,0.3,0.0,0.0029253537533804773
2025/26,Fall,2025,38,0.35,0.0,0.0031400104984641076
2025/26,Fall,2025,38,0.4,1.0,0.003349761478602887
2025/26,Fall,2025,38,0.45,1.0,0.0035672318190336227
2025/26,Fall,2025,38,0.5,1.0,0.0037831601221114397
2025/26,Fall,2025,38,0.55,1.0,0.004026349168270827
2025/26,Fall,2025,38,0.6,1.0,0.004269622452557087
2025/26,Fall,2025,38,0.65,1.0,0.004520102683454753
2025/26,Fall,2025,38,0.7,2.0,0.004815665679052472
2025/26,Fall,2025,38,0.75,2.0,0.005102570983581245
2025/26,Fall,2025,38,0.8,2.0,0.005463209562003614
2025/26,Fall,2025,38,0.85,2.0,0.005894579086452722
2025/26,Fall,2025,38,0.9,3.0,0.006502231117337943
2025/26,Fall,2025,38,0.95,3.0,0.00745242997072637
2025/26,Fall,2025,38,0.975,4.0,0.008395865350030363
2025/26,Fall,2025,38,0.99,5.0,0.009482068372890354
2025/26,Fall,2025,39,0.01,0.0,0.0008823199599282816
2025/26,Fall,2025,39,0.025,0.0,0.0013258705759653822
2025/26,Fall,2025,39,0.05,0.0,0.0017605809785891326
2025/26,Fall,2025,39,0.1,0.0,0.0023173511028289798
2025/26,Fall,2025,39,0.15,0.0,0.002751004265155643
2025/26,Fall,2025,39,0.2,0.0,0.003049438493326307
2025/26,Fall,2025,39,0.25,0.0,0.003342929878272116
2025/26,Fall,2025,39,0.3,1.0,0.0036080867750570176
2025/26,Fall,2025,39,0.35,1.0,0.0038672297145240005
2025/26,Fall,2025,39,0.4,1.0,0.004105435498058796
2025/26,Fall,2025,39,0.45,1.0,0.004352633026428521
2025/26,Fall,2025,39,0.5,1.0,0.004601282067596912
2025/26,Fall,2025,39,0.55,1.0,0.004849560116417706
2025/26,Fall,2025,39,0.6,2.0,0.005107646249234677
2025/26,Fall,2025,39,0.65,2.0,0.005384618183597922
2025/26,Fall,2025,39,0.7,2.0,0.005671413801610468
2025/26,Fall,2025,39,0.75,2.0,0.006006704177707434
2025/26,Fall,2025,39,0.8,2.0,0.006375983078032732
2025/26,Fall,2025,39,0.85,3.0,0.006857657642103732
2025/26,Fall,2025,39,0.9,3.0,0.007445026887580752
