season,semester,MMWR_YR,MMWR_WK,percentile,percentile_value_cases,percentile_value_inc
2025/26,Fall,2025,35,0.01,0.0,4.1374932830979403e-13
2025/26,Fall,2025,35,0.025,0.0,1.1898603044686875e-11
2025/26,Fall,2025,35,0.05,0.0,1.5432345262800242e-10
2025/26,Fall,2025,35,0.1,0.0,2.077654959187214e-09
2025/26,Fall,2025,35,0.15,0.0,7.14790584499525e-09
2025/26,Fall,2025,35,0.2,0.0,2.731818078416382e-08
2025/26,Fall,2025,35,0.25,0.0,7.457448170100633e-08
2025/26,Fall,2025,35,0.3,0.0,1.6872702417458641e-07
2025/26,Fall,2025,35,0.35,0.0,2.84619947876763e-07
2025/26,Fall,2025,35,0.4,0.0,4.94574760523392e-07
2025/26,Fall,2025,35,0.45,0.0,9.626741359625164e-07
2025/26,Fall,2025,35,0.5,0.0,1.6912015894376964e-06
2025/26,Fall,2025,35,0.55,0.0,2.6596321617944356e-06
2025/26,Fall,2025,35,0.6,0.0,3.951009784941561e-06
2025/26,Fall,2025,35,0.65,0.0,6.403844713531726e-06
2025/26,Fall,2025,35,0.7,0.0,1.014260569718317e-05
2025/26,Fall,2025,35,0.75,0.0,1.6357589174731402e-05
2025/26,Fall,2025,35,0.8,0.0,2.6654039538698276e-05
2025/26,Fall,2025,35,0.85,0.0,4.4501339107227954e-05
2025/26,Fall,2025,35,0.9,0.0,8.233611297328029e-05
2025/26,Fall,2025,35,0.95,0.0,0.0001658259956457183
2025/26,Fall,2025,35,0.975,0.0,0.00030018210891284914
2025/26,Fall,2025,35,0.99,1.0,0.0005603052244987338
2025/26,Fall,2025,36,0.01,0.0,3.9753990464103104e-12
2025/26,Fall,2025,36,0.025,0.0,1.0445459983077222e-10
2025/26,Fall,2025,36,0.05,0.0,8.598884493338233e-10
2025/26,Fall,2025,36,0.1,0.0,1.0302528341554763e-08
2025/26,Fall,2025,36,0.15,0.0,3.0684231333566455e-08
2025/26,Fall,2025,36,0.2,0.0,1.0752705748018343e-07
2025/26,Fall,2025,36,0.25,0.0,2.7973133853720356e-07
2025/26,Fall,2025,36,0.3,0.0,6.241463495371135e-07
2025/26,Fall,2025,36,0.35,0.0,1.0095770619500397e-06
2025/26,Fall,2025,36,0.4,0.0,1.6752544297560235e-06
2025/26,Fall,2025,36,0.45,0.0,3.2201979593082827e-06
2025/26,Fall,2025,36,0.5,0.0,4.8758402044768445e-06
2025/26,Fall,2025,36,0.55,0.0,7.821696999599226e-06
2025/26,Fall,2025,36,0.6,0.0,1.2655744831135962e-05
2025/26,Fall,2025,36,0.65,0.0,1.830235378292855e-05
2025/26,Fall,2025,36,0.7,0.0,2.7712672999768966e-05
2025/26,Fall,2025,36,0.75,0.0,4.286536295694532e-05
2025/26,Fall,2025,36,0.8,0.0,6.590688135474922e-05
2025/26,Fall,2025,36,0.85,0.0,0.00010934371275652662
2025/26,Fall,2025,36,0.9,0.0,0.00018165697401855186
2025/26,Fall,2025,36,0.95,0.0,0.0003575848386390133
2025/26,Fall,2025,36,0.975,0.0,0.0005559933299082326
2025/26,Fall,2025,36,0.99,1.0,0.0008831093559274448
2025/26,Fall,2025,37,0.01,0.0,3.450331844886967e-11
2025/26,Fall,2025,37,0.025,0.0,5.474775938152377e-10
2025/26,Fall,2025,37,0.05,0.0,4.718334989384232e-09
2025/26,Fall,2025,37,0.1,0.0,5.488923875418553e-08
2025/26,Fall,2025,37,0.15,0.0,1.4801017513832446e-07
2025/26,Fall,2025,37,0.2,0.0,4.900800831819653e-07
2025/26,Fall,2025,37,0.25,0.0,1.112785412260564e-06
2025/26,Fall,2025,37,0.3,0.0,2.1013786863477433e-06
2025/26,Fall,2025,37,0.35,0.0,3.5271777392154036e-06
2025/26,Fall,2025,37,0.4,0.0,5.445051192509711e-06
2025/26,Fall,2025,37,0.45,0.0,9.397626718055112e-06
2025/26,Fall,2025,37,0.5,0.0,1.5480099136766512e-05
2025/26,Fall,2025,37,0.55,0.0,2.3724858510831847e-05
2025/26,Fall,2025,37,0.6,0.0,3.504572669044137e-05
2025/26,Fall,2025,37,0.65,0.0,5.194482127990341e-05
2025/26,Fall,2025,37,0.7,0.0,7.417752131004814e-05
2025/26,Fall,2025,37,0.75,0.0,0.00010985378321493044
