week,above_median
1,0.04133333333333333
2,0.098
3,0.19866666666666666
4,0.3413333333333333
5,0.5
6,0.644
7,0.7926666666666666
8,0.8826666666666667
9,0.9373333333333334
10,0.9686666666666667
11,0.984
12,0.99
13,0.9966666666666667
14,1.0
15,0.9993333333333333
16,0.998
17,0.9926666666666667
18,0.986
19,0.972
20,0.9626666666666667
21,0.9506666666666667
22,0.9393333333333334
23,0.928
24,0.9026666666666666
25,0.886
26,0.842
27,0.79
28,0.7166666666666667
29,0.6466666666666666
30,0.5786666666666667
31,0.5046666666666667
32,0.43733333333333335
33,0.38533333333333336
34,0.31533333333333335
35,0.27666666666666667
36,0.23
37,0.19133333333333333
